dataset_id_easy,relationType,source_id,cit,identifier,url,target_id,abstract,citation_reference,notes
55,isCited,10.1017/jog.2020.30,y,doi,http://arcticdata.io/catalog/view/doi:10.18739/A2GX44V1P,doi:10.18739/A2GX44V1P,"This dataset contains the firn temperature measurements and estimated measurement depth from nine GC-Net stations: CP1, Dye-2, NASA-SE, Saddle, NASA-U, NASA-E, Summit and Tunu-N. They were produced for, and described in Vandecrux et al. (2020, https://doi.org/10.1017/jog.2020.30). Firn temperature were filtered from obvious erroneous measurements and from measurement noise. Measurement depth were calculated from installation depth and updated for accumulation of new snow at the surface and compaction of snow and firn above the sensor. Raw data used to produced this dataset is available at  http://cires1.colorado.edu/steffen/gcnet/."," They were produced for, and described in Vandecrux et al", 
59,isCited,10.1017/jog.2020.30,y,doi,http://arcticdata.io/catalog/view/doi:10.18739/A2V698C33,doi:10.18739/A2V698C33,"This dataset contains the hourly gap-filled meteorological data at nine GC-Net stations: CP1, Dye-2, NASA-SE, Saddle, South Dome, NASA-E, NASA-U, Summit, Tunu-N for the period 1998-2017. Meteorological variables include: adjusted snow fall rate from surface height sounder air temperature at 2 meter (m) height, relative humidity at 2 m hieight, wind speed at 10 m height. The dataset also comprises surface energy budget components: upward and doward shortwave and longwave radiative fluxes, sensible and latent heat fluxes (and subsequently sublimation/deposition), conductive heat flux into the subsurface, surface temperature and surface melt. These data were prepared for, and fully described in Vandecrux et al. (2020, https://doi.org/10.1017/jog.2020.30). For their calculation, raw data from the GC-Net stations (available at http://cires1.colorado.edu/steffen/gcnet/) were filtered from erroneous measurements and gap-filled using either nearby automatic weather stations or from adjusted RACMO2.3p2 regional climate model output. Downward longwave radiation is not monitored by the GC-Net stations and is therefore directly taken from RACMO2.3p2. Upward shortwave radiation was gap-filled using gap-filled downward shortwave radiation and daily MODIS albedo. The surface energy budget calculation uses the Monin-Obhukov similarity theory accounting for the near-surface atmosphere stratification."," These data were prepared for, and fully described in Vandecrux et al", 
20,isReferencedBy,10.1029/2002JD002722,y,,http://arcticdata.io/catalog/view/doi:10.5065/D6CF9N77,doi:10.5065/D6CF9N77,Daily thaw depth and frozen ground depth are calculated using a frozen ground model. Oelke et al. [2003] provide details. The data is presented in 24 sub-datasets of different spatial and temporal aggregations., Oelke et al, 
21,isReferencedBy,10.1029/2002JD002723,y,,http://arcticdata.io/catalog/view/doi:10.5065/D6H13059,doi:10.5065/D6H13059,Daily thaw depth and frozen ground depth are calculated using a frozen ground model. Oelke et al. [2003] provide details. The data are presented in 24 sub-datasets of different spatial and temporal aggregations., Oelke et al, 
8,isReferencedBy,10.1029/2003GL019004,y,,http://arcticdata.io/catalog/view/doi:10.18739/A2S17SS80,doi:10.18739/A2S17SS80,"The 5 kilometer (km) Arctic Ocean Tidal Inverse Model developed in 2004 (AOTIM5) is a barotropic tide model on a polar stereographic grid. AOTIM5 was created using the OSU Tidal Inversion Software (OTIS) package (https://www.tpxo.net/). Model development is described by Padman and Erofeeva (2004) (https://doi.org/10.1029/2003GL019003). The bathymetry grid is based on the original International Bathymetric Chart of the Arctic Ocean (IBCAO) bathymetry (Jakobsson et al., 2000; https://doi.org/10.1029/00EO00059). AOTIM5 consists of grids of sea surface height and depth-integrated currents (“volume transports”) for each of 8 tidal constituents; 4 semidiurnal (M2, S2, K2, N2) and 4 diurnal (K1, O1, P1, Q1). The first step in building AOTIM5 was development of the Arctic Ocean Dynamics-based Tide Model (AODTM5), which is also available at the Arctic Data Center (https://arcticdata.io/catalog/view/doi:10.18739/A2901ZG3N). That model was forced at open ocean boundaries by the TOPEX/Poseidon global barotropic tidal solution version 6.2 (TPXO.6.2), and by local astronomical forcing (“potential tides”). Each constituent in AODTM5 was tuned, separately, to Arctic tide height data by optimizing the linear drag coefficient. AOTIM5 used AODTM5 as a “prior” model, then assimilated coastal and benthic tide gauges, and TOPEX/Poseidon and ERS satellite radar altimetry, to improve the 4 largest-amplitude constituents, M2, S2, K1 and O1.  An updated version of this model created in 2018, Arc5km2018, is also available at the Arctic Data Center. The newer model uses updated open boundary conditions, and a wider range of assimilated data including much longer satellite altimetry records. We recommend that users compare results from AOTIM5 and Arc5km2018 before deciding which to use for a specific application. Please also check the ESR Polar Tide Model webpage (https://www.esr.org/research/polar-tide-models/) for more recent Arctic barotropic tide models.  Padman, L., and S. Erofeeva (2004), A barotropic inverse tidal model for the Arctic Ocean, Geophysical Research Letters, 31(2), L02303, doi:10.1029/2003GL019003.", The bathymetry grid is based on the original International Bathymetric Chart of the Arctic Ocean (IBCAO) bathymetry (Jakobsson et al,AOTIM5 - influential model
22,isReferencedBy,10.1029/2003GL019300,y,,http://arcticdata.io/catalog/view/doi:10.5065/D6ST7MZ0,doi:10.5065/D6ST7MZ0,"Daily thaw depth and frozen ground depth are calculated using a frozen ground model. Oelke et al. [2004] provide details, while also referring to [Oelke et al., 2003]. Thaw depth and frozen ground are calculated using different initial model settings. In the first case, all soil down to the lower model boundary is set to sub-freezing initial temperatures. Thawing during the summer months caused the development of a thawed layer at the top with the thaw depth again decreasing during freeze-up of the thawed layer in fall. Frozen ground depth on the other hand is calculated with soil temperatures at all depths above-freezing at the beginning. Here the frozen depth increased during winter, and spring thawing eventually decreases its value. The data is presented in 24 sub-datasets of different spatial and temporal aggregations.","c("" Oelke et al"", "" [2004] provide details, while also referring to [Oelke et al"")", 
23,isReferencedBy,10.1029/2003GL019300,y,,http://arcticdata.io/catalog/view/doi:10.5065/D6P55KMV,doi:10.5065/D6P55KMV,"Daily thaw depth and frozen ground depth are calculated using a frozen ground model. Oelke et al. [2004] provide details, while also referring to [Oelke et al., 2003]. Thaw depth and frozen ground are calculated using different initial model settings. In the first case, all soil down to the lower model boundary is set to sub-freezing initial temperatures. Thawing during the summer months caused the development of a thawed layer at the top with the thaw depth again decreasing during freeze-up of the thawed layer in fall. Frozen ground depth on the other hand is calculated with soil temperatures at all depths above-freezing at the beginning. Here the frozen depth increased during winter, and spring thawing eventually decreases its value. The data are presented in 24 sub-datasets of different spatial and temporal aggregations.","c("" Oelke et al"", "" [2004] provide details, while also referring to [Oelke et al"")", 
34,isReferencedBy,10.1029/2009JC005387,y,,http://arcticdata.io/catalog/view/doi:10.18739/A22R3NX1Z,doi:10.18739/A22R3NX1Z,"This data set includes the Biology/Ice/Ocean Modeling and Assimilation System (BIOMAS) simulated monthly mean results for the Arctic Ocean planktonic ecosystem over the period 2004-2018. Also included is a movie that shows monthly variations of a few ecosystem components. BIOMAS is a coupled sea ice, ocean, and marine planktonic ecosystem model (Zhang et al., 2010, 2014) with a model domain over the northern hemisphere north of 49 deg N. The mean horizontal resolution for most of the Arctic Ocean is about 22 km. This biophysical model is driven by the National Centers for Environmental Prediction/National Center for Atmospheric Research (NCEP/NCAR) reanalysis forcing. Supported by NSF grants: ARC 0629326, ARC 0629095, ARC 0629234, ARC 0629359, PLR 1416920, PLR 1417339, and PLR 1417677.  References:  Zhang, J., Y. Spitz, M. Steele, C. Ashjian, R. Campbell, L. Berline, and P. Matrai, Modeling the impact of declining sea ice on the Arctic marine planktonic ecosystem, J. Geophys Res., 115, C10015, doi: 10.1029/2009JC005387, 2010.  Zhang, J., C. Ashjian, R. Campbell, V. Hill, Y.H. Spitz, and M. Steele, The great 2012 Arctic Ocean summer cyclone enhanced biological productivity on the shelves, J. Geophy. Res., 119, 1-16, doi:10.1002/2013JC009301, 2014."," BIOMAS is a coupled sea ice, ocean, and marine planktonic ecosystem model (Zhang et al", 
89,isReferencedBy,10.1029/2017JF004520,y,doi,http://arcticdata.io/catalog/view/doi:10.18739/A2SQ8QH3F,doi:10.18739/A2SQ8QH3F,"We installed a time lapse camera at ~325 masl on the north side of Kongsbreen, Svalbard, Norway. The camera collected imagery every 30 minutes from 30 April to 15 September 2016. More information on how the imagery were originally used can be found in Schild et al. (JGR, 2018) Glacier calving rates due to subglacial discharge, fjord circulation, and free convection.", More information on how the imagery were originally used can be found in Schild et al, 
90,isReferencedBy,10.1029/2017JF004521,y,doi,http://arcticdata.io/catalog/view/doi:10.18739/A2XG9F97K,doi:10.18739/A2XG9F97K,"The data set of ocean temperature were collected at a mooring in Kongsfjorden, Svalbard, Norway during 2016. The mooring supported ten temperature sensors and data were resampled to 10 m intervals between 30-200 m. There is a 12-day gap during this record (day 233-244) for instrument maintenance and data recovery. Additional details about the mooring itself can be found in Cottier et al., 2005. We also include a CTD cast close to the Kronebreen terminus, collected on 23 August 2016 from a boat. These data were used in Schild et al. (JGR, 2018) Glacier calving rates due to subglacial discharge, fjord circulation, and free convection (doi:10.1029/2017JF004520).","c("" Additional details about the mooring itself can be found in Cottier et al"", "" These data were used in Schild et al"")",REVIEW THIS ONE FOR MORE CITATIONS
81,isCited,10.1029/2019GL086521,y,doi,http://arcticdata.io/catalog/view/doi:10.18739/A25Q4RM33,doi:10.18739/A25Q4RM33,"Meltwater export from the Greenland Ice Sheet (GrIS) is a significant contributor to sea level rise. Despite this, relatively little is known about the temporal and spatial dynamics of meltwater routing through and retention in/under the GrIS. Thus to investigate if GrIS hydrologic processes stay active year-round, we deployed to southwest Greenland during winter, approximately 4 months after summertime surface melt. We surveyed the frozen Isortoq, Sandflugtdalen, Ørkendalen, and Watson proglacial rivers, which drain all meltwater runoff from tributary Isunguata Sermia, Russell, Leverett, Ørkendalen, and Isorlersuup outlet glaciers. At each river site, we established transects across the river ice perpendicular to summertime flow direction. We then executed ground penetrating radar (GPR) surveys along each transect and also mechanically drilled boreholes through the river ice. We discovered evidence of minimal meltwater export beneath proglacial river ice in the Isortoq River. Geochemical analysis of this water suggests that it was sourced from the GrIS. Surveys in neighboring proglacial rivers revealed no evidence of meltwater runoff. We suggest that the discovered runoff only in the Isortoq River is the result of residual meltwater storage and release enabled by a deep, spatially pervasive, subglacial trough beneath Isunguata Sermia outlet glacier. This suggests that GrIS hydrological processes can stay active year-round. The enclosed data supports these results, and includes: point locations of river ice thickness measured in mechanically drilled boreholes; GPR data and processed echograms; approximate point locations of bright reflectors mapped beneath the Isortoq River ice. This data supports the methods, results and conclusions in Pitcher et al. (2020)."," This data supports the methods, results and conclusions in Pitcher et al", 
27,isReferencedBy,10.1029/2020GL088051,y,,http://arcticdata.io/catalog/view/doi:10.18739/A29C6S13F,doi:10.18739/A29C6S13F,These time-series were collected on moorings deployed as part of the Beaufort Gyre Observing System (BGOS). SAMI-CO 2 (Submersible Autonomous Moored Instrument) and SAMI-pH sensors were deployed at ~33-43 meters depth. These data were accompanied by ADCP (Acoustic Doppler Current Profiler) data and profiler data collected by Rick Krishfield et al. Woods Hole Oceanographic Institution (WHOI). See here for information about the mooring locations and for access to additional mooring data., These data were accompanied by ADCP (Acoustic Doppler Current Profiler) data and profiler data collected by Rick Krishfield et al, 
28,isReferencedBy,10.1029/2020GL088052,y,,http://arcticdata.io/catalog/view/doi:10.18739/A2F47GT75,doi:10.18739/A2F47GT75,These time-series were collected on moorings deployed as part of the Beaufort Gyre Observing System (BGOS). SAMI-CO 2 (Submersible Autonomous Moored Instrument) and SAMI-pH sensors were deployed at ~31-39 meters depth. These data were accompanied by ADCP (Acoustic Doppler Current Profiler) data and profiler data collected by Rick Krishfield et al. Woods Hole Oceanographic Institution (WHOI). See here for information about the mooring locations and for access to additional mooring data., These data were accompanied by ADCP (Acoustic Doppler Current Profiler) data and profiler data collected by Rick Krishfield et al, 
31,isReferencedBy,10.1029/2020GL088052,y,,http://arcticdata.io/catalog/view/doi:10.18739/A28C9R46N,doi:10.18739/A28C9R46N,These time-series were collected on moorings deployed as part of the Beaufort Gyre Observing System. SAMI-CO2 and SAMI-pH sensors were deployed at ~35 m depth. These data were accompanied by ADCP data and profiler data collected by Rick Krishfield et al. (WHOI). See http://www.whoi.edu/page.do?pid=66559 for information about the mooring locations and for access to additional mooring data., These data were accompanied by ADCP data and profiler data collected by Rick Krishfield et al, 
9,isCited,10.1029/2020GL088083,y,doi,http://arcticdata.io/catalog/view/doi:10.18739/A21R6N14K,doi:10.18739/A21R6N14K,"The Arctic Ocean Tidal Inverse Model developed in 2018 (Arc5km2018) is a barotropic tide model on an idealized 5 kilometer polar stereographic grid.  It is an update to the original Arctic Ocean Tidal Inverse Model (AOTIM5) model developed in 2004 ( Padman and Erofeeva, 2004 ). Arc5km2018 was created using the OSU Tidal Inversion Software (OTIS) package . The bathymetry grid is based on the original International Bathymetric Chart of the Arctic Ocean (IBCAO) bathymetry ( Jakobsson et al., 2000 ). Arc5km2018 was developed using the scheme described in Egbert and Erofeeva (2002) , and consists of grids of sea surface height and depth-integrated currents (""volume transports"") for each of 12 tidal constituents; 5 semidiurnal (M2, S2, K2, N2, 2N2), 4 diurnal (K1, O1, P1, Q1), and 3 non-linear (M4, MS4, MN4). Arc5km2018 assimilates coastal and benthic tide gauges, and TOPEX/Poseidon/Jason and European Space Agency (ESA) satellite radar altimetry, to improve the five largest-amplitude constituents, M2, S2, N2, K1 and O1.  Arc5km2018 includes the following updates relative to AOTIM5: (1) it uses an improved prior model with ocean open boundary forcing from an updated TOPEX/Poseidon global barotropic global tide solution (TPXO9.1); (2) it adds four tidal constituents, 2N2 and the three non-linear constituents; and (3) it assimilates much longer time series of altimetry, notably from the ESA satellites that sample to 81.5 degrees north.  We recommend that users compare results from Arc5km2018 and AOTIM5, which is also available at the Arctic Data Center , before deciding which to use for a specific application. Please also check the ESR Polar Tide Model webpage for more recent Arctic barotropic tide models.    Egbert, G. D., and S. Y. Erofeeva (2002), Efficient inverse modeling of barotropic ocean tides, Journal of Atmospheric and Oceanic Technology, 19(2), 183-204.      Padman, L., and S. Erofeeva (2004), A barotropic inverse tidal model for the Arctic Ocean, Geophysical Research Letters, 31(2), L02303.","c("" The bathymetry grid is based on the original International Bathymetric Chart of the Arctic Ocean (IBCAO) bathymetry ( Jakobsson et al"", "" Erofeeva (2002), Efficient inverse modeling of barotropic ocean tides, Journal of Atmospheric and Oceanic Technology, 19(2), 183-204.      Padman, L., and S. Erofeeva (2004), A barotropic inverse tidal model for the Arctic Ocean, Geophysical Research Letters, 31(2), L02303"")","2018 update of AOTIM5 - keep an eye on this, should be highly cited in and of itself"
9,isCited,10.1029/2020JC016174,y,doi,http://arcticdata.io/catalog/view/doi:10.18739/A21R6N14K,doi:10.18739/A21R6N14K,"The Arctic Ocean Tidal Inverse Model developed in 2018 (Arc5km2018) is a barotropic tide model on an idealized 5 kilometer polar stereographic grid.  It is an update to the original Arctic Ocean Tidal Inverse Model (AOTIM5) model developed in 2004 ( Padman and Erofeeva, 2004 ). Arc5km2018 was created using the OSU Tidal Inversion Software (OTIS) package . The bathymetry grid is based on the original International Bathymetric Chart of the Arctic Ocean (IBCAO) bathymetry ( Jakobsson et al., 2000 ). Arc5km2018 was developed using the scheme described in Egbert and Erofeeva (2002) , and consists of grids of sea surface height and depth-integrated currents (""volume transports"") for each of 12 tidal constituents; 5 semidiurnal (M2, S2, K2, N2, 2N2), 4 diurnal (K1, O1, P1, Q1), and 3 non-linear (M4, MS4, MN4). Arc5km2018 assimilates coastal and benthic tide gauges, and TOPEX/Poseidon/Jason and European Space Agency (ESA) satellite radar altimetry, to improve the five largest-amplitude constituents, M2, S2, N2, K1 and O1.  Arc5km2018 includes the following updates relative to AOTIM5: (1) it uses an improved prior model with ocean open boundary forcing from an updated TOPEX/Poseidon global barotropic global tide solution (TPXO9.1); (2) it adds four tidal constituents, 2N2 and the three non-linear constituents; and (3) it assimilates much longer time series of altimetry, notably from the ESA satellites that sample to 81.5 degrees north.  We recommend that users compare results from Arc5km2018 and AOTIM5, which is also available at the Arctic Data Center , before deciding which to use for a specific application. Please also check the ESR Polar Tide Model webpage for more recent Arctic barotropic tide models.    Egbert, G. D., and S. Y. Erofeeva (2002), Efficient inverse modeling of barotropic ocean tides, Journal of Atmospheric and Oceanic Technology, 19(2), 183-204.      Padman, L., and S. Erofeeva (2004), A barotropic inverse tidal model for the Arctic Ocean, Geophysical Research Letters, 31(2), L02303.","c("" The bathymetry grid is based on the original International Bathymetric Chart of the Arctic Ocean (IBCAO) bathymetry ( Jakobsson et al"", "" Erofeeva (2002), Efficient inverse modeling of barotropic ocean tides, Journal of Atmospheric and Oceanic Technology, 19(2), 183-204.      Padman, L., and S. Erofeeva (2004), A barotropic inverse tidal model for the Arctic Ocean, Geophysical Research Letters, 31(2), L02303"")","2019 update of AOTIM5 - keep an eye on this, should be highly cited in and of itself"
102,isReferencedBy,10.1046/j.1365-2486.2000.06017.x,y,,http://arcticdata.io/catalog/view/doi:10.5065/D6ZW1J2G,doi:10.5065/D6ZW1J2G,"This data set contains the model output data of Terrestrial Ecosystem Model (TEM) simulations from 1920-2100 for both moist tundra and polar desert/alpine tundra for the Pan-arctic, compared to output for the Kuparuk River Basin (moist tundra). TEM simulates C and N fluxes and pools. 5,942 grid cells were used in the Pan-arctic simulation, of which 3,614 were considered polar desert/alpine tundra and 2,328 were considered moist tundra. All 19 grid cells in the Kuparuk simulation were considered moist tundra. The values of several ecosystem variables are compared between the Pan-arctic and Kuparuk. The results of this study are presented and discussed in McGuire et al. (2000), Modeling carbon responses of tundra ecosystems to historical and projected climate: sensitivity of Pan-arctic carbon storage to temporal and spatial variation in climate. Global Change Biology 6: 141-159. The simulations use the moist tundra and polar desert/alpine tundra calibrations developed by McGuire et al. (1992), based on data from Toolik Lake, Alaska.","c("" The results of this study are presented and discussed in McGuire et al"", "" The simulations use the moist tundra and polar desert/alpine tundra calibrations developed by McGuire et al"")", 
